,,Star_name,Distance,Mass,Radius,Gravity
0,Sun,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99,
1,Sirius,2MASS J00040288-6410358,192.0,19.0,1.63,
2,Canopus,LHS 102BC,,,,
3,Alpha Centauri,2MASS J00242463-0158201,37.7,79.0,1.09,
4,Arcturus,2MASS J00250365+4759191AB,143.0,,,
5,Vega,2MASS J00274197+0503417,236.0,31.0,1.44,
6,Capella,2MASS J00275592+2219328,46.9,,,
7,Rigel,2MASSW J0030300-145033,87.2,54.0,0.98,
8,Procyon,2MASS J00332386-1521309 [de],131.0,29.0,1.43,
9,Betelgeuse,2MASS J00345157+0523050,31.0,42.0,0.94,
10,Achernar,2MASS 0036+1821,28.6,42.0,0.94,
11,Hadar,2MASSW J0045214+163445,57.0,23.0,1.62,
12,Altair,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3,
13,Acrux,2MASS J00501994-3322402 [de],34.0,40.0,0.94,
14,Aldebaran,2MASS J00034227-2822410,,,,
15,Antares,2MASS J00584253-0651239 [de],96.0,29.0,1.43,
16,Spica,CFBDS J005910.90–011401.3,30.0,23.0,,
17,Pollux,2MASSI J0103320+193536,70.0,52.0,0.98,
18,Fomalhaut,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,
19,Deneb,2MASSI J0117474-340325 [de],163.0,20.0,1.62,
20,Mimosa,2MASS J01415823-4633574 [de],130.0,20.0,1.61,
21,Regulus,SDSS J015141.69+124429.6,70.0,47.0,0.97,
22,Adhara,DENIS-P J020529.0−115925A,65.0,,,
23,Shaula,DENIS-P J020529.0−115925B,65.0,,,
24,Castor,DENIS-P J020529.0−115925C,65.0,,,
25,Gacrux,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97,
26,Bellatrix,2MASS J02103857-3015313,101.0,15.0,1.53,
27,Elnath,2MASS J02340093-6442068,155.0,20.0,1.62,
28,Miaplacidus,2MASS J02411151-0326587 [de],152.0,27.0,1.41,
29,Alnilam,2MASS J02431371−2453298,35.0,33.0,0.99,
30,Gamma Velorum,LP 771-21,53.0,78.0,1.08,
31,Alnair,2MASS J02511327+0047364,,,,
32,Alioth,Teegarden's star,12.578,80.0,1.27,
33,Alnitak,2MASS J02535980+3206373,184.0,65.0,1.9,
34,Dubhe,WISE J0254+0223,24.0,65.0,1.9,
35,Mirfak,DEN 0255-4700,16.2,80.0,0.97,
36,Wezen,2MASS J03185403-3421292 [de],45.0,49.0,0.97,
37,Sargas,2MASS J03205965+1854233,47.0,88.0,1.15,
38,Kaus Australis,2MASS J03231002-4631237,192.0,23.0,1.66,
39,Avior,SDSS J032553.17+042540.1,59.0,45.0,0.95,
40,Alkaid,2MASS J03264225-2102057 [de],80.0,18.0,1.3,
41,Menkalinan,2MASS J03284265+2302051 [de],98.0,54.0,0.98,
42,Atria,2MASS J03341218-4953322,27.0,73.0,1.04,
43,Alhena,LP 944-20,20.9,73.0,1.43,
44,Peacock,2MASP J0345432+254023,88.0,74.0,1.05,
45,Alsephina[2],Teide 1,380.0,55.0,3.78,
46,Mirzam,2MASS J03510004-0052452,48.0,102.0,1.27,
47,Polaris,2MASS J03552337+1133437,29.8,20.0,1.32,
48,Alphard,DENIS-P J035726.9-441730 [de],130.0,,,
49,Mintaka,2MASS J04151954−0935066,18.6,30.0,0.95,
50,Scheat,SDSSp J042348.57-041403.5 [de],50.0,,,
51,Almaaz,2MASS J04285096-2253227 [de],85.0,80.0,1.09,
52,Rasalgethi,2MASS J04351612-1606574,34.0,100.0,1.26,
53,Tau Ceti,2MASS J04362788-4114465,142.0,39.0,1.97,
54,Delta Pavonis,2MASS J04390101-2353083 [de],29.5,48.0,0.97,
55,Ran,2MASS J04414489+2301513,470.0,19.0,,
56,V382 Carinae,2MASS J04433764+0002040,82.0,22.0,1.78,
57,Eta Carinae,2MASS J04455387-3048204 [de],42.0,64.0,1.0,
58,Delta Cephei,2MASS J04510093-3402150 [de],69.0,1.04,72.0,
59,Mu Cephei,2MASS J05002100+0330501 [de],44.0,64.0,1.0,
60,Titawin,2MASS J05012406-0010452 [de],64.0,21.0,1.38,
61,Rho Cassiopeiae,2MASS J05160945-0445499 [de],73.0,47.0,0.97,
62,P Cygni,2MASS J0523−1403,40.0,68.0,1.01,
63,La Superba,2MASS 0532+8246,81.0,83.0,,
64,VV Cephei,SDSS J053951.99-005902.0,41.62,61.0,1.01,
65,61 Cygni,2MASS J05591914-1404488 [de],34.0,,,
66,R Doradus,LSR 0602+3910 [de],34.6,28.0,1.41,
67,Polaris Australis,2MASS J06085283-2753583,102.0,38.0,1.51,
68,R Coronae Borealis,WISEP J061135.13-041024.0A,69.0,65.0,,
69,54 Piscium,WISEP J061135.13-041024.0B,69.0,53.0,,
70,Mira,2MASS J06244595-4521548 [de],39.0,56.0,0.99,
71,RW Cephei,2MASS J06411840-4322329 [de],65.0,67.0,1.01,
72,Lacaille 8760,DENIS-P J0652197-253450 [de],51.0,75.0,1.05,
73,V838 Monocerotis,2MASS J07003664+3157266 [de],40.0,,,
74,HD 140283,2MASS J07075327-4900503,60.0,72.0,1.03,
75,II Pegasi,UGPS J072227.51-054031.2,13.4,26.0,0.98,
76,VY Canis Majoris,2MASSI J0727182+171001 [de],29.6,41.0,0.94,
77,Pistol Star,2MASS J07290002-3954043 [de],25.8,37.0,0.94,
78,S Doradus,SDSS J074201.41+205520.5 [de],49.0,43.0,0.94,
79,UY Scuti,2MASS J0746425+200032 [fr],49.6,,,
80,Barnard's Star,DENIS-P J0751164-253043 [de],55.0,71.0,1.03,
81,Luhman 16,2MASS J07522390+1612157,60.0,2.01,68.0,
82,Proxima Centauri,DENIS J081730.0-615520,16.1,44.0,0.94,
83,KIC 8462852,DENIS J082303.1−491201A,67.0,44.0,,
84,R136a1,DENIS J082303.1−491201B,67.0,28.0,,
85,Melnick 42,2MASS J08251968+2115521 [de],35.0,52.0,0.98,
86,WR 102,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99,
87,VFTS 352,LHS 2021,55.0,88.0,1.15,
88,YBP 1194,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,
89,Gliese 1214,2MASSI J0835425-081923 [de],23.53,62.0,1.0,
90,NML Cygni,2MASSI J0847287-153237 [de],43.0,64.0,1.0,
91,VB 10,2MASS J08533619-0329321,27.6,77.0,1.07,
92,WOH G64,2MASSI J0859254-194926 [de],50.0,50.0,0.98,
93,TRAPPIST-1,2MASSW J0920122+351742 [de],95.0,,,
94,2MASS J0523-1403,2MASSI J0937347+293142,20.0,42.0,0.94,
95,WISE 0855−0714,2MASS 0939−2448,17.4,32.0,0.95,
96,Icarus,2MASS J09490860-1545485 [de],59.0,49.0,0.96,
